"source","target","developer_comments"
"event_battery","能源不足，无法满足殖民地每日需求",""
"event_storage","仓库已满。",""
"event_tank","液体和气体储存槽已满。",""
"event_hungry","员工们感到饥饿。",""
"event_oxygen","缺氧。",""
"event_cantSit","员工没有地方可坐。",""
"event_cantSleep","员工没有地方睡觉。",""
"event_ill","员工生病了。",""
"event_broken","机器人坏了。",""
"event_radiation","殖民地室内辐射水平升高",""
"event_meteors","陨石流",""
"event_scientist","科研人员效率降低。",""
"event_devices","科研设备效率降低了。",""
"event_computing","计算效率下降了。",""
"state","警报",""
"state_colony","状态",""
"state_loyalty","殖民者心情在舒适度高时提升（越高越快）。
殖民者心情在有未满足需求时下降。
心情也可能因同房间同事的负面性格特质而下降。
心情越低，员工技能越低。心情低落时，意识形态会激进化。
心情为0%时，殖民者停止工作",""
"state_energy","没有足够的电力以应付基地<b>当前</>的需求。请建造更多的发电机。",""
"state_battery","当前电池电量：<b>{charge}%</>。
满足基地<b>每日</>（一个日/夜循环）的需求电量为：<b>{percent}</>。
在空地建造更多的电池和发电机，或者关闭当前不需要电力的地方。",""
"state_storage","使用 {usage} 的 {total} m³ 库存。 如果仓库已满，则停止生产（不适用于液体和气体），载有固体货物的太空梭将在轨道上等待",""
"state_tank","使用水箱 {usage} {total} m³。 如果储罐满了，液体和气体将停止生产，载有液体货物的太空梭将在轨道上等待",""
"state_unreachable","无法前往目标，需重新排列干扰殖民者经过路径的物体，以使道路通畅。可能需要建立气闸。",""
"state_sit","宇航员没有地方可坐。可在走道放上沙发，或在休息室放上扶手椅以供休息。",""
"state_sleep","殖民者没有地方睡觉。可在生活区设置更多的床，并把它们分配给殖民者。",""
"state_eat","<b>{period}</>的储备口粮
<b>{hungry}</>名殖民者感到饥饿
生产更多食物，在食堂增设更多用餐座位。",""
"state_light","太暗了。殖民者无法看清。可设置更多的窗户、生产更多的电力、或打开房间灯光。",""
"state_cure","宇航员需要治疗。已诊断疾病:
{diseases}
建造医院，在其中放置多样化的治疗设备，指派病人和医生。确保仓库有足够药品",""
"state_recover","机器人已损坏。需要在车间中修理机器人并配备工程师
机器人磨损会降低其技能。损坏的机器人不工作",""
"state_oxygen","<b>{period}</> 的氧气供应。
使用再生：<b>{regeneration}</>。
<b>{gasp}</>殖民者缺氧。
为了避免仓库中缺氧，使空气中充满二氧化碳。设置制氧机或增加仓库的氧气供应。",""
"state_radiation","殖民地室内最大辐射水平(毫希沃特/天)",""
"state_meteors","流星雨会对殖民地造成损害并可能摧毁太空梭。
流星雨将在 {start} 后到达空间站
流星雨对空间站的预计损害: {damage} <img id=""endurance""/>
流星雨的质量、速度和方向各不相同，因此建议在空间站四周均匀布置比预测数量更多的炮塔以确保完全拦截。",""
"state_scientists","没有足够的研究人员。建造更多的实验室，并将研究人员安置其中。",""
"state_devices","科学研究效率因科学设备不足而降低。
还需要 {points} <img id=""research""/>
建造更多实验室并在其中安装科学设备",""
"state_computing","科学研究效率因计算能力不足而降低。
还需要 {points} <img id=""computing""/>
建造更多服务器室并在其中安装服务器",""
"planets","行星",""
"sun","太阳",""
"mercury","水星",""
"venus","金星",""
"earth","地球",""
"moon","月球",""
"mars","火星",""
"jupiter","木星",""
"io","木卫一",""
"europa","木卫二",""
"ganymede","木卫三",""
"callisto","木卫四",""
"saturn","土星",""
"enceladus","土卫二",""
"titan","土卫六",""
"uranus","天王星",""
"neptune","海王星",""
"triton","海卫一",""
"months","一月/二月/三月/四月/五月/六月/七月/八月/九月/十月/十一月/十二月",""
"view","视图",""
"view_solarSystem","太阳系",""
"view_rotation","区域旋转",""
"view_scale","规模",""
"view_planets","行星：",""
"view_orbites","轨道：",""
"view_stations","空间站：",""
"view_upscale","放大",""
"view_gradation","渐进",""
"view_defaults","默认的",""
"view_real","实际的",""
"planet_characteristics","特征",""
"planet_temperature","温度",""
"planet_gravity","重力",""
"planet_atmosphere","大气",""
"planet_radiation","辐射",""
"planet_luminity","光照",""
"planet_seismic","地震活动",""
"planet_minerals","矿物质",""
"planet_launchStation","将空间站送入轨道",""
"planet_establishColony","在这个行星上建立一个殖民地。",""
"fly","航班",""
"fly_destination","目的地：",""
"fly_select","选择",""
"fly_departure","启程：",""
"fly_duration","在途中：",""
"fly_arrive","抵达：",""
"fly_fuel","燃油消耗：",""
"player_done","已完成",""
"player_current","当前的",""
"player_tasks","任务",""
"player_saving","保存中...",""
"player_save","保存",""
"whell","增加一个旋转扇区",""
"whell_sectors","扇区数",""
"whell_radius","半径",""
"whell_sector_width","扇区宽度",""
"panel_focus","显示",""
"panel_zoom","切换/放大",""
"panel_edit","重命名",""
"panel_close","隐藏面板",""
"panel_expand","显示面板",""
"clock","时钟",""
"production_name","名称",""
"production_priority","优先级",""
"production_needs","需要：",""
"helium3","氦-3",""
"water","净水",""
"metal","金属",""
"regolith","土壤",""
"rareearth","稀有金属",""
"liquid_fuel","化学燃料",""
"optics","光学元件",""
"components","组件",""
"electronics","电子产品",""
"decor_plants","装饰植物和木材",""
"vegetables","蔬菜",""
"food","食物",""
"oxygen","氧气",""
"co2","二氧化碳",""
"nuclear_fuel","核燃料",""
"antimatter","反物质",""
"format_time_period_days","{days}天",""
"format_time_period_hours","{hours}时",""
"format_time_period_minutes","{minutes}分",""
"cargo_buy","订单（{price}）",""
"cargo_sell","出售（+{price}）",""
"cargo_trash","丢弃",""
"cargo_post","转寄",""
"cargo_cation","仓库",""
"trash_furniture_caption","拆除物件",""
"trash_furniture_text","这些资源将返回到仓库。你确定要拆卸物体吗?",""
"outdoor_OutdoorSolarPanel","太阳能电池板在白天发电（发电机）。",""
"outdoor_StreetLight","户外照明。",""
"outdoor_Antenna","提高科研效率。",""
"outdoor_PowerBank","电池在基地储存的多余电力，会在耗电量大于发电量时释放，比如在晚上。",""
"outdoor_OutdoorTank","气体和液体的储存罐。",""
"outdoor_Drill","一种能够高效开采大量固体矿物的工业钻孔设备。",""
"outdoor_Pump","一种串联式泵。它从行星表面和大气中提取中等量的液体。",""
"outdoor_Landing","太空梭着陆区只能设置在无坡度的水平面上。",""
"@apartment_bed","殖民者在床上比在沙发上睡得好。",""
"@apartment_shelf","殖民者将个人物品存放在壁橱里。",""
"@apartment_table","桌子",""
"@apartment_closet","浴室",""
"furniture_apartment01","@apartment_bed",""
"furniture_apartment02","@apartment_bed",""
"furniture_apartment03","铺位",""
"furniture_apartment04","升级家具套装",""
"furniture_apartment05","沙发",""
"furniture_apartment06","@apartment_shelf",""
"furniture_apartment07","@apartment_shelf",""
"furniture_apartment08","@apartment_shelf",""
"furniture_apartment09","@apartment_shelf",""
"furniture_apartment10","储物桌",""
"furniture_apartment11","@apartment_table",""
"furniture_apartment12","@apartment_closet",""
"furniture_apartment13","@apartment_shelf",""
"furniture_apartment14","@apartment_shelf",""
"furniture_apartment15","储物桌",""
"furniture_apartment16","@apartment_table",""
"furniture_apartment17","@apartment_shelf",""
"furniture_apartment18","@apartment_shelf",""
"furniture_astro_mine01","只有在与小行星对接后，才能在小行星上采矿。",""
"@cafe_table","在餐桌上用餐比在路上吃更方便。",""
"@cafe_kitchen","在基地厨房中可以烹饪食物。",""
"@cafe_plant","餐厅里的植物不仅是装饰物还可以产生氧气。",""
"furniture_cafe01","@cafe_refridgerator",""
"furniture_cafe02","@cafe_refridgerator",""
"furniture_cafe03","@cafe_table",""
"furniture_cafe04","@cafe_table",""
"furniture_cafe05","@cafe_table",""
"furniture_cafe06","@cafe_table",""
"furniture_cafe07","@cafe_table",""
"furniture_cafe08","@cafe_table",""
"furniture_cafe09","@cafe_table",""
"furniture_cafe10","@cafe_table",""
"furniture_cafe11","@cafe_table",""
"furniture_cafe12","@cafe_kitchen",""
"furniture_cafe13","@cafe_kitchen",""
"furniture_cafe14","@cafe_kitchen",""
"furniture_cafe15","@cafe_kitchen",""
"furniture_cafe16","@cafe_kitchen",""
"furniture_cafe17","@cafe_kitchen",""
"furniture_cafe18","@cafe_kitchen",""
"furniture_cafe19","@cafe_kitchen",""
"furniture_cafe20","@cafe_plant",""
"furniture_cafe21","@cafe_plant",""
"furniture_cafe22","@cafe_plant",""
"furniture_cafe23","@cafe_plant",""
"furniture_cafe24","@cafe_plant",""
"furniture_cafe25","@cafe_plant",""
"@farm_decor_plant","种植观赏植物",""
"@farm_banana","香蕉树",""
"furniture_farm01","@farm_decor_plant",""
"furniture_farm02","苹果树",""
"furniture_farm03","@farm_banana",""
"furniture_farm04","樱桃",""
"furniture_farm05","莴苣",""
"furniture_farm06","甜根菜",""
"furniture_farm07","蓝莓",""
"furniture_farm08","花菜",""
"furniture_farm09","草莓",""
"furniture_farm10","黄瓜",""
"furniture_farm11","洋葱",""
"furniture_farm12","大蒜",""
"furniture_farm13","大米",""
"furniture_farm14","甜椒",""
"furniture_farm15","辣椒",""
"furniture_farm16","土豆",""
"furniture_farm17","西红柿",""
"furniture_farm18","西红柿",""
"furniture_farm19","覆盆子",""
"furniture_farm20","小麦",""
"furniture_farm21","黑莓",""
"furniture_farm22","覆盆子",""
"furniture_farm23","@farm_banana",""
"furniture_farm24","@farm_banana",""
"furniture_farm25","@farm_banana",""
"furniture_farm26","@farm_banana",""
"furniture_farm27","@farm_banana",""
"furniture_farm28","@farm_banana",""
"@hallway_sofa","沙发，可供闲暇的殖民者坐和睡（如果没有床的话）。",""
"@hallway_vending","食品饮料自动贩卖机——快速缓解饥饿和口渴的方式",""
"@hallway_plant","绿化植物",""
"@hallway_statue","雕像。",""
"furniture_hallway01","@hallway_plant",""
"furniture_hallway02","@hallway_plant",""
"furniture_hallway03","@hallway_sofa",""
"furniture_hallway04","@hallway_vending",""
"furniture_hallway05","@hallway_vending",""
"furniture_hallway06","@hallway_vending",""
"furniture_hallway07","@hallway_vending",""
"furniture_hallway08","@hallway_vending",""
"furniture_hallway09","@hallway_vending",""
"furniture_hallway010","废物处理",""
"furniture_hallway11","@hallway_plant",""
"furniture_hallway12","@hallway_plant",""
"furniture_hallway13","@hallway_plant",""
"furniture_hallway14","@hallway_sofa",""
"furniture_hallway15","@hallway_sofa",""
"furniture_hallway16","@hallway_sofa",""
"furniture_hallway17","@hallway_sofa",""
"furniture_hallway18","@hallway_sofa",""
"furniture_hallway19","装饰性泳池",""
"furniture_hallway20","@hallway_statue",""
"furniture_hallway21","@hallway_statue",""
"furniture_hallway22","@hallway_statue",""
"furniture_hallway23","@hallway_statue",""
"@hospital_device","医疗设备加速殖民者的康复。",""
"@hospital_shelf","药柜。",""
"furniture_hospital01","手术台上医生进行手术以治疗外伤、烧伤和冻伤",""
"furniture_hospital02","@hospital_device",""
"furniture_hospital03","@hospital_shelf",""
"furniture_hospital04","@hospital_shelf",""
"furniture_hospital05","窗帘将房间隔开，并增加病人舒适度。",""
"furniture_hospital06","@hospital_device",""
"furniture_hospital07","病人在病床上进行住院治疗。",""
"@laboratory_device","科学设备提高了基地研究的效率。",""
"furniture_laboratory01","物理学家工作场所。",""
"furniture_laboratory02","生物学家工作场所。",""
"furniture_laboratory03","@laboratory_device",""
"furniture_laboratory04","@laboratory_device",""
"furniture_laboratory05","@laboratory_device",""
"furniture_laboratory06","@laboratory_device",""
"furniture_laboratory07","@laboratory_device",""
"furniture_laboratory08","@laboratory_device",""
"furniture_laboratory09","@laboratory_device",""
"furniture_laboratory10","@laboratory_device",""
"furniture_laboratory11","@laboratory_device",""
"furniture_laboratory12","@laboratory_device",""
"furniture_laboratory13","@laboratory_device",""
"furniture_laboratory14","@laboratory_device",""
"furniture_laboratory15","@laboratory_device",""
"furniture_laboratory16","@laboratory_device",""
"furniture_laboratory17","@laboratory_device",""
"furniture_laboratory18","@laboratory_device",""
"furniture_laboratory19","@laboratory_device",""
"furniture_laboratory20","@laboratory_device",""
"furniture_laboratory21","@laboratory_device",""
"furniture_laboratory22","@laboratory_device",""
"furniture_laboratory23","@laboratory_device",""
"furniture_laboratory24","@laboratory_device",""
"furniture_laboratory25","@laboratory_device",""
"furniture_laboratory26","@laboratory_device",""
"furniture_laboratory27","@laboratory_device",""
"furniture_laboratory28","工程师工作场所。",""
"furniture_power01","机器人充电站",""
"furniture_power02","发电机通过化学燃料发电",""
"furniture_power03","核反应堆使用核燃料发电。",""
"furniture_power04","聚变反应堆利用氦-3作为热核燃料来产生电能。",""
"furniture_power05","反物质湮灭反应堆。",""
"@recreation_couch","与门厅里的长椅或沙发相比，躺椅可以让殖民者更好地休息。",""
"@recreation_plant","绿色植物促进放松。",""
"@recreation_table","茶几促进放松。",""
"@recreation_aquarium","鱼缸促进放松。",""
"furniture_recreation01","@recreation_couch",""
"furniture_recreation02","@recreation_plant",""
"furniture_recreation03","@recreation_plant",""
"furniture_recreation04","@recreation_plant",""
"furniture_recreation05","虚拟现实游乐场改善了殖民者的情绪，使他们保持良好的身体状态。",""
"furniture_recreation06","@recreation_couch",""
"furniture_recreation07","@recreation_couch",""
"furniture_recreation08","@recreation_plant",""
"furniture_recreation09","@recreation_plant",""
"furniture_recreation10","@recreation_plant",""
"furniture_recreation11","@recreation_aquarium",""
"furniture_recreation12","@recreation_aquarium",""
"furniture_recreation13","@recreation_table",""
"furniture_recreation14","@recreation_table",""
"furniture_recreation15","@recreation_table",""
"furniture_recreation16","@recreation_table",""
"furniture_recreation17","@recreation_table",""
"@server","服务器增加了基地的计算能力。",""
"furniture_server01","@server",""
"furniture_server02","@server",""
"furniture_server03","@server",""
"furniture_server04","@server",""
"furniture_server05","@server",""
"furniture_server06","@server",""
"furniture_server07","@server",""
"furniture_server08","@server",""
"furniture_server09","@server",""
"furniture_server10","@server",""
"@storage","基地的所有物资都存放在架子上和箱子里。你的空间越大，能储存的物资就越多。",""
"furniture_storage01","@storage",""
"furniture_storage02","@storage",""
"furniture_storage03","@storage",""
"furniture_storage04","@storage",""
"furniture_storage05","@storage",""
"furniture_storage06","@storage",""
"furniture_storage07","@storage",""
"furniture_storage08","@storage",""
"furniture_storage09","@storage",""
"furniture_storage10","@storage",""
"furniture_storage11","@storage",""
"furniture_storage12","@storage",""
"furniture_storage13","@storage",""
"furniture_storage14","@storage",""
"furniture_storage15","@storage",""
"furniture_storage16","@storage",""
"furniture_storage17","@storage",""
"furniture_storage18","@storage",""
"furniture_storage19","@storage",""
"furniture_storage20","@storage",""
"furniture_storage21","@storage",""
"furniture_storage22","@storage",""
"furniture_storage23","@storage",""
"furniture_storage24","@storage",""
"furniture_storage25","@storage",""
"furniture_storage26","@storage",""
"furniture_storage27","@storage",""
"furniture_storage28","@storage",""
"furniture_storage29","@storage",""
"furniture_storage30","@storage",""
"furniture_storage31","@storage",""
"furniture_storage32","@storage",""
"furniture_storage33","@storage",""
"furniture_storage34","@storage",""
"furniture_storage35","@storage",""
"furniture_storage36","@storage",""
"furniture_workshop01","玻璃炉",""
"furniture_workshop02","流水线",""
"furniture_workshop03","化学分离器",""
"furniture_workshop04","为最多四个人提供从二氧化碳中再生的氧气",""
"furniture_workshop05","机器人维修台。",""
"furniture_workshop06","光刻设备",""
"no_money_text","您还需要:
{money}
您可以通过在公司面板中向国家贷款获得资金",""
"no_money_caption","资金不足。",""
"character_states_console&workshop","在工厂工作",""
"character_states_console&fixing","在修理机器人",""
"character_states_console&hospital","在治疗病人",""
"character_states_farm","在照料植物",""
"character_states_sit&console","在控制台工作",""
"character_states_charge","充电中",""
"character_states_lay&recover","在服务中",""
"character_states_vr","正玩得开心",""
"character_states_lay&sleep","睡觉中",""
"character_states_sit&eat","进食中",""
"character_states_eat","在吃零食",""
"character_states_lay&cure","康复中",""
"character_states_cafe","正在烹饪",""
"character_states_console&mine","正在采矿",""
"character_states_sit","坐着",""
"character_states_sit&relax","休息中",""
"character_states_none","空闲中",""
"character_states_move_to_console&workshop","前往工厂",""
"character_states_move_to_console&fixing","去修理一个机器人",""
"character_states_move_to_console&hospital","去治疗一个病人",""
"character_states_move_to_farm","去农场",""
"character_states_move_to_sit&console","去研究",""
"character_states_move_to_charge","去充电",""
"character_states_move_to_lay&recover","去修复",""
"character_states_move_to_vr","要去玩",""
"character_states_move_to_lay&sleep","去睡觉",""
"character_states_move_to_sit&eat","去吃饭",""
"character_states_move_to_eat","去吃零食",""
"character_states_move_to_lay&cure","去接受治疗",""
"character_states_move_to_cafe","去做饭",""
"character_states_move_to_console&mine","去挖矿",""
"character_states_move_to_sit","去坐着",""
"character_states_move_to_sit&relax","去休息",""
"build_tooltip_remove","拆除区块。",""
"build_tooltip_error","建造错误",""
"build_tooltip_noCargoBuildError","材料不足。",""
"build_tooltip_undergroundBuildError","只有支架和楼梯能建筑在地面上。",""
"build_tooltip_landingBuildError","离着陆点过近。",""
"build_tooltip_noFoundationError","不能建造缺少支撑的区块。",""
"build_tooltip_busyBuildError","该处已有区块建成。",""
"build_tooltip_axisBuildError","只有轴心区块、静止或旋转部分可以在空间站轴心上建造。",""
"build_tooltip_bottomSectionBuildError","不能在该区段的这一侧建造。",""
"build_tooltip_noCageBuildError","没有足够的空间。",""
"build_tooltip_pillarOnWhellBuildError","不能在旋转部分建造。",""
"build_tooltip_rayIntersectBuildError","不能挡住气闸或引擎。",""
"build_tooltip_noDoorBuildError","只能设置在气闸的外门一侧。",""
"build_tooltip_engineLevelBuildError","牵引引擎可以安装在空间站的最底部。",""
"build_tooltip_doorPresentBuildError","不能安装在门附近。",""
"build_tooltip_engineOnRouteBuildError","飞行中不能重建引擎。",""
"build_tooltip_insideDoorBuildError","必须先将门拆除。",""
"build_tooltip_needGravityBuildError","只能安装在旋转的部分。",""
"build_tooltip_buldAboveStairError","楼梯将顶着地板。",""
"build_tooltip_noStairUpCageBuildError","楼梯将顶着天花板。",""
"build_tooltip_noCageWithStairBuildError","楼梯不能建在这个区域。",""
"build_tooltip_upCageWithFurnitureBuildError","建造前必须拆除上层房间内的家具。",""
"build_tooltip_cantPlaceDoorBuildError","门不能安装在这里。",""
"build_tooltip_cantDoorWithFurnitureBuildError","在安装门之前，你必须将房间空出来。",""
"build_tooltip_cantWriteWithEraser","选择一个区块来移除它。",""
"build_tooltip_cantBuildStairError","楼梯不能安装在这里。",""
"build_tooltip_cantBuildDoorError","门只能安装在室内。",""
"build_tooltip_needGate","这里只能安装大门。",""
"build_tooltip_noCageEraseError","你必须选择一个区块才能将其删除。",""
"build_tooltip_notEmptyEraseError","删除一个区块之前，你必须清空这个区域。",""
"build_tooltip_bottomStairEraseError","不能删除楼梯上方的区块。",""
"build_tooltip_axisEraseError","不能删除该区块或空间站轴。",""
"build_tooltip_doorEraseError","此门不能被删除。",""
"build_tooltip_removeFurnitureDoorEraseError","在拆除门之前需要腾出房间。",""
"build_tooltip_nodeEraseError","你只能删除最后建成且没有连接块的部分。",""
"build_tooltip_notEmptyWhellEraseError","在删除旋转部分之前，你必须移除所有连接在其上的区块。",""
"build_tooltip_notLastWhellEraseError","首先，你必须删除轴上旋转部分之后建造的所有区块。",""
"build_tooltip_noSupportAfterDelete","你不能将空间站拆分为多个部分。",""
"build_tooltip_whellNodeEraseError","无法删除旋转部分的某一段。",""
"build_tooltip_cantEraseStairError","这里没有楼梯可以删除。",""
"build_tooltip_cantEraseDoorError","这里没有门可以删除。",""
"build_tooltip_eraseMakeDoorWithoutGate","如果将内门变为外门，则无法删除区块",""
"route_none","无",""
"route_select_target","点击你的目的地",""
"route_total_time","{days}天{hours}小时{mins}分钟",""
"route_fail_caption","无法继续该路线",""
"route_fail_with_shuttles","等待所有太空梭的到达和离开。",""
"route_fail_no_base","等待太空站飞行至目的地。",""
"route_asteroid","小行星",""
"route_withoutHumans","航班飞行需要机组人员。",""
"secondment_failWithRoute","在派遣机组人员之前，需要取消计划飞行的路线。",""
"secondment_failCaption","不可转派机组人员。",""
"cant_post_caption","无法发送货物。",""
"cant_post_withoutHumans","接收站没有工作人员。",""
"research_geneticEngineering","基因工程",""
"research_plantsAdaptedToLowGravity","适应低重力的植物",""
"research_biorepository","生物储存库",""
"research_fabricEngineering","组织工程",""
"research_syntheticMeat","合成肉",""
"research_individualGenomeSequencing","个体基因组测序",""
"research_increaseInLifeExpectancy","增加预期寿命",""
"research_geneTherapy","基因治疗",""
"research_nanotechnology","纳米技术",""
"research_nanobots","纳米机器人",""
"research_nanosensors","纳米探测器",""
"research_dnaChip","DNA芯片",""
"research_nanotechnologyClothing","纳米技术服装",""
"research_cancerTreatment","癌症治疗",""
"research_stoppingAging","停止衰老",""
"research_superconductorsThatDoNotRequireCooling","非制冷超导体",""
"research_materialsWithUniqueMagneticProperties","具有独特磁性的材料",""
"research_compositeNanomaterials","复合纳米材料",""
"research_largesizeCarbonNanoconstructions","碳宏观结构",""
"research_carbonComputers","碳电子",""
"research_ultralightHighstrengthMaterials","超轻高强度材料",""
"research_hightemperatureConstructionMaterials","高温结构材料",""
"research_recombinationEngine","重组引擎",""
"research_thermonuclearEnergy","聚变能源",""
"research_safeNuclearEnergy","安全核电",""
"research_nuclearPowerPlant","核电厂",""
"research_nuclearEngine","核推进器",""
"research_compactThermonuclearEnergy","微型聚变能源",""
"research_thermonuclearEngine","聚变引擎",""
"research_thermonuclearPowerPlant","聚变电厂",""
"research_highpowerLasers","高功率激光器",""
"research_wirelessPowerTransmission","无线电力传输",""
"research_laserEngine","激光引擎",""
"research_spaceElevator","太空电梯",""
"research_picotechnology","皮米技术",""
"research_quantumChips","量子芯片",""
"research_radiationAbsorbingMaterials","辐射吸收涂料",""
"research_programmableMatter","可编程物质",""
"research_artificialIntelligence","人工智能",""
"research_robots","机器人",""
"research_augmentation","人体机能增强",""
"research_adaptationOfTheBodyToAdverseConditions","身体对不利环境的适应力",""
"research_cryogenics","低温休眠",""
"research_nanofabricator","纳米制造机",""
"research_replicator","复制器",""
"research_femtotechnology","飞米技术",""
"research_antigravity","人工重力",""
"research_forceFields","力场防护",""
"research_productionOfAntimatter","反物质生产",""
